"source_export","date_filter","date_start","date_end","page","clicks","impressions","ctr_percent","position","position_6_12","legacy_html"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/autoconsum-public-fotovoltaice-institutii-publice","1","16","6.25","7.06","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr12-afir-tineri-fermieri","3","16","18.75","9.81","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/testimoniale","0","16","0","4.12","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/apeluri-gal","0","14","0","6.21","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/resurse","0","14","0","5.36","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/studii-de-caz","3","14","21.43","5.36","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene","0","13","0","9.92","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/consultanta-afir","0","13","0","5.85","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/consultanta-pnrr-digitalizare","0","13","0","16.62","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/pnrr-digitalizare-imm-cheltuieli-eligibile.html","0","13","0","35.77","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-femei-antreprenor","0","11","0","5.45","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-pentru-ferme","0","11","0","4.91","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cum-alegi-consultant-fonduri-europene","0","10","0","4.9","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/eligibilitate-fonduri-europene","0","10","0","6.2","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/intrebari/cum-se-calculeaza-cofinantarea-la-fonduri-europene","1","9","11.11","6.44","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/start-up-nation-2026-plan-de-afaceri","0","9","0","28.11","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/webinarii","0","9","0","3.56","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cod-caen-startup-nation","0","8","0","63.25","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/contact/","0","8","0","8.88","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/consultant-fonduri-europene-imm","0","7","0","6.86","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/digitalizare-imm-pnrr","0","7","0","4.43","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-caen/4321-instalatii-electrice","2","7","28.57","3","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-caen/6201-dezvoltare-software","0","7","0","5.86","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/greseli-fonduri-europene","0","7","0","3.57","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/instrumente","0","7","0","3.57","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/portofoliu","0","7","0","2.29","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/programul-tranzitie-justa-intrebari-documente","0","7","0","8.43","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cheltuieli-eligibile-startup-nation","0","6","0","4.67","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-bucuresti","0","6","0","17.17","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-caen/0111-culturi-cereale","0","6","0","4.17","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/calendar-fonduri-europene/","0","5","0","13.2","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/consultanta-afir/","0","5","0","6.8","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum.html","0","5","0","33.6","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/finantari-panouri-fotovoltaice","0","4","0","24","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate","0","4","0","5","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/start-up-nation/","0","4","0","5","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","http://atelierdeconsultanta.ro/pnrr","0","3","0","4","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/blog.html","0","3","0","4","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/gdpr.html","0","3","0","3.33","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/politica-de-confidentialitate.html","0","3","0","5.67","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/consultanta-pnrr-digitalizare/","0","2","0","5.5","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/dr-12-afir-instalarea-tinerilor-fermieri.html","0","2","0","5.5","false","true"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-femei-antreprenor/","0","2","0","7","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/ghiduri/","0","2","0","1","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/intrebari/ce-documente-sunt-necesare-pentru-dr12","0","2","0","3","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/cum-alegi-consultant-fonduri-europene/","0","1","0","5","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/fonduri-europene-caen/5610-restaurante","0","1","0","1","false","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12.zip","Last 3 months","2026-04-11","2026-07-10","https://atelierdeconsultanta.ro/intrebari/ce-cheltuieli-sunt-eligibile-la-digitalizare-imm","0","1","0","10","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","https://atelierdeconsultanta.ro/calculator-soc","6","2276","0.26","8.21","true","false"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","https://atelierdeconsultanta.ro/femeia-antreprenor-2026","15","927","1.62","8.17","true","false"
