"source_export","date_filter","date_start","date_end","query","clicks","impressions","ctr_percent","position"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","fonduri femeia antreprenor 2026","0","18","0","9.83"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","adr nord est microintreprinderi","0","17","0","8.65"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr 12 ghid final","0","16","0","7.19"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr12 afir","1","16","6.25","9.12"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","femeia antreprenor 2026 conditii varsta","0","16","0","8.25"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","fonduri europene femeia antreprenor 2026","0","16","0","9.69"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","gal.afir","0","16","0","6.81"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","pro infra","2","16","12.5","9.56"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","afir dr 12","0","15","0","9.33"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","program femeia antreprenor 2026","0","15","0","9.73"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","femeia antreprenor 2026 eligibilitate","0","14","0","6.64"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","calculator so","0","13","0","6"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","calcul so","0","11","0","8.55"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","calculator so afir","0","10","0","8.6"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","calculator so animale","0","9","0","6.89"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","fonduri europene nerambursabile 2026 pentru femei","0","9","0","11.78"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ghid final dr 12","1","9","11.11","6"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","afir dimensiunea economica so formula suprafata coeficient so","0","8","0","7.62"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","calcul so afir","0","8","0","9.25"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","investitii pentru modernizarea microintreprinderilor - apel 2","0","8","0","10.75"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","so afir","0","8","0","9"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr14 afir","0","7","0","10.71"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ghid femeia antreprenor 2026","0","7","0","8.14"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","calculator so vegetal","0","6","0","6.83"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr12","0","6","0","8.17"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","galafir.ro","0","6","0","6.67"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","conditii femeia antreprenor 2026","0","5","0","9.2"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr 12 afir ghid","0","5","0","8.8"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","femeie antreprenor 2026","1","5","20","10.4"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","nerambursabil ce inseamna","0","5","0","10.4"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","e move ghid","1","4","25","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","programul femeia antreprenor 2026 romania","0","4","0","8.5"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ce înseamnă nerambursabil","0","3","0","10.67"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr 12 ghid consultativ","0","3","0","7.67"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr 14 conditii","0","3","0","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr14 afir 2026","0","3","0","7.33"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","proiect femeia antreprenor 2026","0","3","0","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","romania coeficient so grau 614 euro pe hectar standard output","0","3","0","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","unde să verifici eligibilitatea pentru schimbul dispozitivului tău?","0","3","0","7.33"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","afir calcul so","0","2","0","9"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","afir gal","0","2","0","8"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr 12 ghid","0","2","0","9.5"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr 12 lansare","0","2","0","11"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","dr12 ghid","0","2","0","11"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","fondul pentru modernizare 2026","0","2","0","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ghid consultativ dr 12","0","2","0","7.5"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ghid dr 12 afir","0","2","0","6.5"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ghid start up nation 2026","0","2","0","10.5"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ghidul solicitantului dr 12","0","2","0","9"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","so 2026","0","2","0","8"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","start up nation 2026 coduri caen","0","2","0","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","afir dr12","0","1","0","9"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","afir dr14","0","1","0","11"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","apel 2","0","1","0","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","calcul so vegetal","0","1","0","11"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","ce inseamna cofinantare","0","1","0","12"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","coduri caen eligibile start up nation 2026","0","1","0","9"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","coduri caen start up nation 2026","0","1","0","10"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","efarmaser","0","1","0","8"
"atelierdeconsultanta.ro-Performance-on-Search-2026-07-12 (1).zip","Last 28 days","2026-06-13","2026-07-10","femeia antreprenor 2026 depunere","0","1","0","6"
